gene_id,sh_ca,sh_cb,sh_cc,sh_tdpa,sh_tdpb,sh_tdpc
ENSG00000116649.9,18,35,24,55,82,87
ENSG00000171824.13,54,70,72,66,105,99
ENSG00000198793.12,53,81,75,99,136,140
ENSG00000171819.4,0,0,0,0,0,1
ENSG00000120942.13,2,13,6,15,22,13
ENSG00000204624.7,33,65,66,91,117,139
ENSG00000116661.10,11,23,13,25,31,35
ENSG00000132879.13,38,63,59,62,98,89
ENSG00000116663.10,1,4,1,3,4,7
ENSG00000116670.14,30,40,42,61,64,76
ENSG00000162490.6,26,61,45,80,89,94
ENSG00000177674.15,0,1,0,0,0,0
ENSG00000215910.7,0,1,0,1,1,0
ENSG00000177000.12,21,13,37,26,45,57
ENSG00000011021.22,20,56,44,55,71,67
ENSG00000175206.10,0,0,0,0,0,0
ENSG00000120937.8,1,0,2,0,3,1
ENSG00000116685.15,4,4,1,6,6,6
ENSG00000083444.16,2,10,5,16,27,21
ENSG00000116688.16,61,80,63,96,144,147
ENSG00000116691.10,16,24,20,22,29,34
ENSG00000120949.14,0,0,0,0,0,1
ENSG00000028137.18,0,0,0,0,0,0
ENSG00000048707.15,11,34,32,42,41,57
ENSG00000162496.8,1,3,4,11,14,3
ENSG00000204518.2,0,0,0,0,0,0
ENSG00000188984.11,0,0,0,0,0,0
ENSG00000157330.9,0,0,0,0,1,0
ENSG00000116726.4,1,0,0,0,1,0
ENSG00000116721.9,1,0,0,0,0,0
ENSG00000239810.3,0,0,0,0,0,0
ENSG00000179172.9,0,0,0,0,0,0
ENSG00000120952.4,0,0,0,0,1,0
ENSG00000243073.3,0,0,0,0,0,0
ENSG00000187545.5,0,0,0,0,0,1
ENSG00000204510.5,0,0,0,0,0,0
ENSG00000232423.6,0,0,0,0,0,0
ENSG00000274764.5,0,0,0,0,0,0
ENSG00000277058.2,0,0,0,0,0,0
ENSG00000229571.7,0,0,0,0,0,0
ENSG00000275774.2,0,0,0,0,1,0
ENSG00000280267.4,0,0,0,0,0,0
ENSG00000179412.10,0,0,0,0,0,0
ENSG00000204505.4,0,0,0,0,0,0
ENSG00000279169.2,0,0,0,0,0,0
ENSG00000279804.2,0,0,0,0,1,0
ENSG00000270601.4,0,0,0,0,0,0
ENSG00000182330.10,0,0,0,0,0,0
ENSG00000237700.2,0,0,0,0,0,0
ENSG00000204501.7,0,0,0,0,0,0
ENSG00000204481.7,0,0,0,0,0,0
ENSG00000204480.8,0,0,0,0,0,0
ENSG00000204479.4,0,0,0,0,0,0
ENSG00000204478.9,0,0,0,1,0,0
ENSG00000162494.5,0,0,0,0,0,0
ENSG00000162493.16,0,0,0,0,2,1
ENSG00000116731.22,63,95,101,80,156,166
ENSG00000189337.16,28,22,41,39,71,58
ENSG00000171729.13,0,1,0,0,2,5
ENSG00000142621.19,5,3,0,1,1,1
ENSG00000142634.12,7,6,2,7,9,12
ENSG00000162438.11,0,0,0,0,0,0
ENSG00000142615.7,0,0,0,0,1,0
ENSG00000215704.9,0,0,0,0,0,0
ENSG00000132906.17,11,17,12,10,16,26
ENSG00000116138.12,12,14,15,20,26,38
ENSG00000116771.5,0,0,0,1,0,2
ENSG00000197312.11,13,21,25,21,27,31
ENSG00000215695.1,0,0,1,4,1,2
ENSG00000116786.12,23,36,28,62,62,77
ENSG00000162461.7,0,2,0,0,0,0
ENSG00000162460.6,0,0,0,0,0,0
ENSG00000162458.12,3,16,8,9,16,17
ENSG00000233954.6,0,0,1,0,0,1
ENSG00000065526.10,74,81,98,84,152,159
ENSG00000116809.11,19,24,18,56,41,61
ENSG00000183888.4,0,0,0,0,0,0
ENSG00000173641.17,0,0,0,1,0,0
ENSG00000186510.11,0,0,0,0,0,0
ENSG00000184908.17,0,0,0,0,0,0
ENSG00000185519.8,1,2,1,0,0,0
ENSG00000142627.12,0,0,0,1,0,1
ENSG00000142632.16,0,0,1,1,0,0
ENSG00000132881.11,2,5,2,2,2,5
ENSG00000037637.10,26,32,34,36,54,54
ENSG00000055070.16,14,34,25,27,36,58
ENSG00000187144.11,0,0,0,0,0,0
ENSG00000157191.19,4,5,5,8,10,16
ENSG00000219481.10,0,0,0,2,1,0
ENSG00000058453.16,10,14,21,23,39,46
ENSG00000117122.13,7,5,3,4,3,4
ENSG00000159363.17,42,59,48,71,97,117
ENSG00000117118.9,22,35,30,22,41,61
ENSG00000117115.12,0,0,2,0,0,0
ENSG00000142623.10,0,0,0,0,1,1
ENSG00000142619.4,0,0,1,0,0,0
ENSG00000159339.13,0,0,0,1,1,0
ENSG00000276747.1,0,1,0,1,0,0
ENSG00000179051.13,24,34,49,46,64,74
ENSG00000074964.16,33,53,55,85,86,134
ENSG00000117148.7,0,0,0,0,1,1
ENSG00000117154.11,2,8,11,0,6,8
ENSG00000179023.8,0,0,0,1,0,0
ENSG00000009709.11,0,0,0,1,0,0
ENSG00000179002.5,0,0,0,0,1,0
ENSG00000255275.3,0,0,0,0,0,0
ENSG00000159423.16,11,12,15,23,25,30
ENSG00000169991.10,2,7,4,1,4,11
ENSG00000127481.14,77,98,96,90,150,186
ENSG00000127463.14,19,66,53,65,78,103
ENSG00000053372.4,8,11,10,16,26,33
ENSG00000211454.13,0,1,0,2,2,1
ENSG00000162482.4,0,0,0,0,4,0
ENSG00000053371.12,12,13,9,23,18,18
ENSG00000040487.12,8,18,8,13,13,20
ENSG00000077549.17,70,108,98,157,224,252
ENSG00000173436.14,8,10,22,23,18,33
ENSG00000158747.14,4,4,5,7,4,13
ENSG00000270136.6,0,0,0,0,2,0
ENSG00000158748.3,1,2,1,1,1,1
ENSG00000162542.13,0,0,0,1,1,1
ENSG00000178828.6,0,0,1,0,0,0
ENSG00000169914.5,12,11,11,17,21,19
ENSG00000188784.4,0,0,0,0,0,0
ENSG00000188257.11,0,1,0,0,0,0
ENSG00000127472.10,0,0,0,1,0,0
ENSG00000117215.14,0,0,0,0,0,0
ENSG00000158786.4,0,0,0,0,0,0
ENSG00000187980.6,0,0,0,0,0,0
ENSG00000162543.5,1,1,4,2,2,2
ENSG00000158816.15,1,0,0,0,1,1
ENSG00000162545.5,14,44,38,37,73,58
ENSG00000090432.6,8,12,18,10,30,17
ENSG00000183114.7,1,2,0,0,0,3
ENSG00000158825.5,0,0,0,0,0,0
ENSG00000158828.7,41,88,54,66,92,95
ENSG00000244038.9,28,93,52,85,125,109
ENSG00000117245.12,7,6,3,3,4,4
ENSG00000189410.11,0,1,0,0,0,0
ENSG00000127483.17,91,160,137,196,300,362
ENSG00000075151.20,129,153,166,144,196,243
ENSG00000117298.15,4,17,15,14,17,26
ENSG00000142794.18,1,3,0,1,5,6
ENSG00000162551.13,0,0,0,0,0,0
ENSG00000076864.19,26,30,34,20,35,27
ENSG00000090686.15,31,25,44,47,72,101
ENSG00000187942.11,0,0,0,0,0,0
ENSG00000142798.19,0,1,0,4,1,2
ENSG00000219073.7,0,0,0,0,1,0
ENSG00000142789.19,0,0,0,0,0,0
ENSG00000285721.1,0,0,0,0,0,0
ENSG00000070831.15,29,51,46,45,69,89
ENSG00000162552.14,0,1,1,2,0,1
ENSG00000184677.17,10,16,16,27,30,45
ENSG00000070886.11,6,2,0,13,11,16
ENSG00000173372.16,0,1,0,0,0,0
ENSG00000159189.11,0,0,0,0,0,0
ENSG00000173369.15,0,0,0,0,0,0
ENSG00000133216.16,13,37,33,51,74,82
ENSG00000215906.8,0,0,0,0,0,1
ENSG00000227868.5,0,0,0,0,1,0
ENSG00000004487.16,159,193,184,253,368,424
ENSG00000169641.13,10,11,16,10,19,16
ENSG00000179546.4,0,0,0,0,0,0
ENSG00000125944.19,158,185,168,241,330,430
ENSG00000125945.14,30,29,40,28,46,58
ENSG00000204219.10,0,0,0,0,1,0
ENSG00000088280.18,7,9,9,7,4,5
ENSG00000007968.6,0,0,0,1,0,0
ENSG00000117318.8,1,1,0,2,1,0
ENSG00000142676.14,163,219,208,269,372,453
ENSG00000011007.12,29,38,34,47,70,80
ENSG00000057757.9,33,60,46,30,68,70
ENSG00000011009.10,22,37,29,48,37,78
ENSG00000117308.14,14,16,12,27,26,48
ENSG00000117305.14,5,15,3,12,8,16
ENSG00000179163.11,3,7,6,8,19,25
ENSG00000188822.7,0,0,0,0,0,0
ENSG00000189266.12,2,1,1,3,1,6
ENSG00000188529.14,20,45,45,43,63,75
ENSG00000142661.18,1,1,0,1,2,0
ENSG00000142677.3,0,0,0,0,0,1
ENSG00000185436.11,0,0,1,0,1,2
ENSG00000158055.15,0,1,0,1,0,0
ENSG00000001460.17,3,8,8,7,9,9
ENSG00000001461.16,2,2,9,9,8,4
ENSG00000117602.11,40,47,45,42,66,87
ENSG00000184454.6,0,0,0,0,0,0
ENSG00000133226.16,108,129,126,146,173,208
ENSG00000169504.14,20,24,20,21,31,45
ENSG00000020633.18,0,0,0,0,0,0
ENSG00000117614.9,18,15,13,21,35,52
ENSG00000117616.17,11,23,9,28,25,49
ENSG00000187010.20,0,0,0,0,0,1
ENSG00000183726.10,19,27,31,43,60,75
ENSG00000188672.18,0,0,0,0,0,0
ENSG00000204178.10,26,57,50,58,102,116
ENSG00000157978.11,0,0,0,0,1,0
ENSG00000117643.14,0,0,0,1,0,2
ENSG00000162430.16,5,15,12,31,35,40
ENSG00000255054.3,2,9,5,10,8,26
ENSG00000117640.17,26,14,29,19,41,51
ENSG00000127423.10,0,0,0,0,0,1
ENSG00000182749.5,2,4,9,6,9,8
ENSG00000117632.22,1452,1902,2000,2402,3758,4426
ENSG00000158006.13,2,1,4,2,1,5
ENSG00000158008.9,2,2,0,1,1,1
ENSG00000158014.14,0,0,0,0,1,1
ENSG00000158022.6,0,0,0,0,0,0
ENSG00000175087.9,9,23,19,41,39,52
ENSG00000197245.5,0,0,2,1,4,1
ENSG00000282872.1,0,0,0,0,1,0
ENSG00000236782.7,0,2,1,0,0,0
ENSG00000142684.8,4,17,14,21,34,31
