condition,value,gene
DMSO,1,hnRNPL
DMSO,1,hnRNPL
DMSO,1,hnRNPL
CHX,2.2151,hnRNPL
CHX,3.2937,hnRNPL
CHX,4.5964,hnRNPL
DMSO,1,STMN2
DMSO,1,STMN2
DMSO,1,STMN2
CHX,1.2269,STMN2
CHX,1.1317,STMN2
CHX,1.2113,STMN2
DMSO,1,UNC13A
DMSO,1,UNC13A
DMSO,1,UNC13A
CHX,3.8972,UNC13A
CHX,12.4151,UNC13A
CHX,7.546,UNC13A
DMSO,1,UNC13B
DMSO,1,UNC13B
DMSO,1,UNC13B
CHX,2.4552,UNC13B
CHX,6.5945,UNC13B
CHX,6.1592,UNC13B
