gene_name,gene_id,transcript_id
ALDH3A1,ENSG00000108602.17,ENST00000457500.6
SMARCD2,ENSG00000108604.15,ENST00000448276.6
ICAM2,ENSG00000108622.10,ENST00000412356.5
SYNGR2,ENSG00000108639.7,ENST00000225777.7
B9D1,ENSG00000108641.15,ENST00000261499.8
UTP6,ENSG00000108651.9,ENST00000261708.8
DDX5,ENSG00000108654.14,ENST00000225792.9
C17orf75,ENSG00000108666.9,ENST00000577809.5
CYTH1,ENSG00000108669.16,ENST00000361101.8
PSMD11,ENSG00000108671.10,ENST00000261712.7
LGALS3BP,ENSG00000108679.12,ENST00000262776.7
ASIC2,ENSG00000108684.14,ENST00000225823.6
CCL7,ENSG00000108688.11,ENST00000378569.2
CCL2,ENSG00000108691.9,ENST00000225831.4
CCL8,ENSG00000108700.4,ENST00000394620.1
CCL1,ENSG00000108702.3,ENST00000225842.3
PEX12,ENSG00000108733.9,ENST00000613219.4
KRT32,ENSG00000108759.3,ENST00000225899.3
DHX58,ENSG00000108771.12,ENST00000251642.7
KAT2A,ENSG00000108773.10,ENST00000225916.9
RAB5C,ENSG00000108774.14,ENST00000547517.5
NAGLU,ENSG00000108784.9,ENST00000225927.6
HSD17B1,ENSG00000108786.10,ENST00000225929.5
MLX,ENSG00000108788.11,ENST00000246912.8
CNTNAP1,ENSG00000108797.11,ENST00000264638.8
ABI3,ENSG00000108798.8,ENST00000225941.5
EZH1,ENSG00000108799.12,ENST00000428826.6
DLX4,ENSG00000108813.10,ENST00000240306.4
PPP1R9B,ENSG00000108819.10,ENST00000612501.1
COL1A1,ENSG00000108821.13,ENST00000225964.9
SGCA,ENSG00000108823.15,ENST00000262018.7
PTGES3L-AARSD1,ENSG00000108825.17,ENST00000421990.6
MRPL27,ENSG00000108826.15,ENST00000225969.8
VAT1,ENSG00000108828.15,ENST00000355653.7
LRRC59,ENSG00000108829.9,ENST00000225972.7
RND2,ENSG00000108830.9,ENST00000587250.3
ALOX12,ENSG00000108839.11,ENST00000251535.10
HDAC5,ENSG00000108840.15,ENST00000225983.10
ABCC3,ENSG00000108846.15,ENST00000285238.12
LUC7L3,ENSG00000108848.15,ENST00000393227.6
PPY,ENSG00000108849.7,ENST00000591228.4
MPP2,ENSG00000108852.14,ENST00000518766.5
SMURF2,ENSG00000108854.15,ENST00000262435.13
DUSP3,ENSG00000108861.8,ENST00000226004.7
CACNG1,ENSG00000108878.4,ENST00000226021.4
EFTUD2,ENSG00000108883.12,ENST00000426333.6
HLF,ENSG00000108924.13,ENST00000226067.9
SLC16A6,ENSG00000108932.11,ENST00000327268.8
PRKAR1A,ENSG00000108946.14,ENST00000392711.5
EFNB3,ENSG00000108947.4,ENST00000226091.2
FAM20A,ENSG00000108950.11,ENST00000592554.1
YWHAE,ENSG00000108953.16,ENST00000264335.12
MMD,ENSG00000108960.8,ENST00000262065.7
RANGRF,ENSG00000108961.13,ENST00000226105.10
DPH1,ENSG00000108963.17,ENST00000263083.10
MAP2K6,ENSG00000108984.14,ENST00000590474.6
DHRS7B,ENSG00000109016.17,ENST00000395511.7
WSB1,ENSG00000109046.14,ENST00000262394.6
RCVRN,ENSG00000109047.7,ENST00000226193.5
MYH1,ENSG00000109061.9,ENST00000226207.5
SLC9A3R1,ENSG00000109062.11,ENST00000262613.9
MYH3,ENSG00000109063.14,ENST00000583535.5
NAT9,ENSG00000109065.11,ENST00000578822.5
TMEM104,ENSG00000109066.13,ENST00000335464.9
VTN,ENSG00000109072.13,ENST00000226218.8
TNFAIP1,ENSG00000109079.9,ENST00000226225.6
IFT20,ENSG00000109083.13,ENST00000585089.5
TMEM97,ENSG00000109084.13,ENST00000226230.7
CDR2L,ENSG00000109089.7,ENST00000337231.5
PMP22,ENSG00000109099.14,ENST00000312280.8
FOXN1,ENSG00000109101.7,ENST00000226247.2
UNC119,ENSG00000109103.11,ENST00000335765.8
ALDOC,ENSG00000109107.13,ENST00000226253.8
SUPT6H,ENSG00000109111.14,ENST00000314616.10
RAB34,ENSG00000109113.19,ENST00000453384.7
PHF12,ENSG00000109118.13,ENST00000332830.8
PHOX2B,ENSG00000109132.6,ENST00000226382.3
TMEM33,ENSG00000109133.12,ENST00000504986.5
GABRA4,ENSG00000109158.10,ENST00000264318.3
GNRHR,ENSG00000109163.6,ENST00000226413.4
SLAIN2,ENSG00000109171.14,ENST00000264313.10
OCIAD1,ENSG00000109180.14,ENST00000381473.7
UGT2B10,ENSG00000109181.11,ENST00000265403.11
CWH43,ENSG00000109182.11,ENST00000226432.8
DCUN1D4,ENSG00000109184.14,ENST00000451288.6
USP46,ENSG00000109189.12,ENST00000441222.7
SULT1E1,ENSG00000109193.11,ENST00000226444.3
ODAM,ENSG00000109205.16,ENST00000396094.6
SMR3A,ENSG00000109208.4,ENST00000226460.4
CHIC2,ENSG00000109220.10,ENST00000263921.7
NMU,ENSG00000109255.11,ENST00000264218.7
KIAA1211,ENSG00000109265.14,ENST00000264229.11
LAMTOR3,ENSG00000109270.12,ENST00000499666.6
PF4V1,ENSG00000109272.3,ENST00000226524.3
NFKB1,ENSG00000109320.11,ENST00000226574.8
AREG,ENSG00000109321.10,ENST00000395748.7
MANBA,ENSG00000109323.9,ENST00000226578.9
UBE2D3,ENSG00000109332.19,ENST00000357194.10
MAPK10,ENSG00000109339.21,ENST00000641983.1
ELF2,ENSG00000109381.19,ENST00000379550.5
NDUFC1,ENSG00000109390.11,ENST00000544855.5
UCP1,ENSG00000109424.3,ENST00000262999.3
TBC1D9,ENSG00000109436.7,ENST00000442267.2
ZNF330,ENSG00000109445.10,ENST00000262990.8
INPP4B,ENSG00000109452.12,ENST00000509777.5
GAB1,ENSG00000109458.8,ENST00000262995.8
KLHL2,ENSG00000109466.13,ENST00000514860.5
IL2,ENSG00000109471.4,ENST00000226730.4
CPE,ENSG00000109472.13,ENST00000402744.8
RPL34,ENSG00000109475.16,ENST00000394668.2
WFS1,ENSG00000109501.13,ENST00000226760.5
ANXA10,ENSG00000109511.11,ENST00000359299.7
GRPEL1,ENSG00000109519.12,ENST00000264954.4
GAR1,ENSG00000109534.16,ENST00000226796.6
FRG1,ENSG00000109536.11,ENST00000226798.8
CLCN3,ENSG00000109572.13,ENST00000347613.8
AADAT,ENSG00000109576.13,ENST00000509167.5
GALNT7,ENSG00000109586.11,ENST00000265000.8
DHX15,ENSG00000109606.12,ENST00000336812.4
SOD3,ENSG00000109610.5,ENST00000382120.3
SEPSECS,ENSG00000109618.11,ENST00000382103.6
CPZ,ENSG00000109625.18,ENST00000360986.8
TRIM2,ENSG00000109654.14,ENST00000338700.9
SLC2A9,ENSG00000109667.11,ENST00000264784.7
FBXW7,ENSG00000109670.14,ENST00000603548.6
NEIL3,ENSG00000109674.3,ENST00000264596.3
TBC1D19,ENSG00000109680.10,ENST00000264866.8
CLNK,ENSG00000109684.14,ENST00000226951.10
NSD2,ENSG00000109685.17,ENST00000382895.7
SH3D19,ENSG00000109686.17,ENST00000304527.8
STIM2,ENSG00000109689.15,ENST00000465503.5
NKX3-2,ENSG00000109705.7,ENST00000382438.5
MFSD10,ENSG00000109736.14,ENST00000329687.8
GLRB,ENSG00000109738.10,ENST00000264428.8
BST1,ENSG00000109743.10,ENST00000265016.8
RAPGEF2,ENSG00000109756.9,ENST00000264431.8
HGFAC,ENSG00000109758.8,ENST00000511533.1
SNX25,ENSG00000109762.15,ENST00000504273.5
LRP2BP,ENSG00000109771.15,ENST00000328559.11
UFSP2,ENSG00000109775.10,ENST00000264689.10
KLF3,ENSG00000109787.12,ENST00000261438.9
KLHL5,ENSG00000109790.16,ENST00000504108.5
FAM149A,ENSG00000109794.13,ENST00000227065.8
NCAPG,ENSG00000109805.9,ENST00000251496.6
UGDH,ENSG00000109814.11,ENST00000316423.10
PPARGC1A,ENSG00000109819.8,ENST00000264867.6
DDX25,ENSG00000109832.13,ENST00000263576.10
CRYAB,ENSG00000109846.7,ENST00000533475.5
HTATIP2,ENSG00000109854.13,ENST00000419348.6
CTSC,ENSG00000109861.15,ENST00000227266.9
CCDC34,ENSG00000109881.16,ENST00000328697.10
ZBTB16,ENSG00000109906.13,ENST00000335953.8
ELP4,ENSG00000109911.18,ENST00000395934.2
ZPR1,ENSG00000109917.10,ENST00000227322.7
MTCH2,ENSG00000109919.9,ENST00000302503.7
FNBP4,ENSG00000109920.12,ENST00000263773.9
TECTA,ENSG00000109927.10,ENST00000392793.5
SC5D,ENSG00000109929.9,ENST00000264027.8
CRTAM,ENSG00000109943.8,ENST00000227348.8
JHY,ENSG00000109944.10,ENST00000227349.6
B3GAT1,ENSG00000109956.12,ENST00000524765.1
HSPA8,ENSG00000109971.13,ENST00000534624.5
P2RX3,ENSG00000109991.8,ENST00000263314.2
VWA5A,ENSG00000110002.15,ENST00000456829.6
DNAJC4,ENSG00000110011.13,ENST00000321460.5
SIAE,ENSG00000110013.12,ENST00000263593.7
SNX15,ENSG00000110025.12,ENST00000377244.7
LPXN,ENSG00000110031.12,ENST00000528954.5
DTX4,ENSG00000110042.7,ENST00000227451.3
ATG2A,ENSG00000110046.12,ENST00000377264.7
EHD1,ENSG00000110047.17,ENST00000621096.4
OSBP,ENSG00000110048.11,ENST00000263847.5
UNC93B1,ENSG00000110057.7,ENST00000227471.6
PUS3,ENSG00000110060.8,ENST00000227474.7
DCPS,ENSG00000110063.9,ENST00000263579.4
KMT5B,ENSG00000110066.14,ENST00000304363.8
FOXRED1,ENSG00000110074.10,ENST00000263578.9
PPP6R3,ENSG00000110075.14,ENST00000393801.7
NRXN2,ENSG00000110076.18,ENST00000265459.10
MS4A6A,ENSG00000110077.14,ENST00000529054.5
MS4A4A,ENSG00000110079.17,ENST00000337908.4
ST3GAL4,ENSG00000110080.18,ENST00000526727.5
CPT1A,ENSG00000110090.12,ENST00000265641.9
CCND1,ENSG00000110092.3,ENST00000227507.2
CCDC86,ENSG00000110104.12,ENST00000227520.9
PRPF19,ENSG00000110107.8,ENST00000227524.8
TMEM109,ENSG00000110108.9,ENST00000227525.7
CCKBR,ENSG00000110148.9,ENST00000334619.6
HPX,ENSG00000110169.10,ENST00000265983.7
TRIM3,ENSG00000110171.19,ENST00000525074.5
CHORDC1,ENSG00000110172.11,ENST00000320585.10
FOLR1,ENSG00000110195.12,ENST00000393679.5
ANAPC15,ENSG00000110200.8,ENST00000543050.5
FOLR3,ENSG00000110203.8,ENST00000611028.2
PANX1,ENSG00000110218.8,ENST00000227638.7
ARHGEF17,ENSG00000110237.4,ENST00000263674.3
APOA5,ENSG00000110243.11,ENST00000542499.5
APOA4,ENSG00000110244.6,ENST00000357780.4
APOC3,ENSG00000110245.11,ENST00000227667.7
CEP164,ENSG00000110274.15,ENST00000278935.7
RNF141,ENSG00000110315.6,ENST00000265981.6
CEP126,ENSG00000110318.13,ENST00000263468.12
EIF4G2,ENSG00000110321.16,ENST00000526148.5
IL10RA,ENSG00000110324.10,ENST00000227752.7
GALNT18,ENSG00000110328.5,ENST00000227756.4
BIRC2,ENSG00000110330.8,ENST00000613397.4
UBE4A,ENSG00000110344.9,ENST00000431736.6
DDX6,ENSG00000110367.12,ENST00000620157.4
UPK2,ENSG00000110375.2,ENST00000264031.2
CBL,ENSG00000110395.6,ENST00000264033.5
NECTIN1,ENSG00000110400.10,ENST00000264025.7
HIPK3,ENSG00000110422.11,ENST00000303296.8
KIAA1549L,ENSG00000110427.15,ENST00000321505.8
FBXO3,ENSG00000110429.13,ENST00000265651.7
PDHX,ENSG00000110435.11,ENST00000227868.8
SLC1A2,ENSG00000110436.12,ENST00000278379.8
COMMD9,ENSG00000110442.11,ENST00000263401.9
SLC15A3,ENSG00000110446.10,ENST00000227880.7
CD5,ENSG00000110448.10,ENST00000347785.7
ACCS,ENSG00000110455.13,ENST00000263776.8
SCGB2A2,ENSG00000110484.6,ENST00000227918.2
MDK,ENSG00000110492.15,ENST00000405308.6
AMBRA1,ENSG00000110497.14,ENST00000534300.5
MADD,ENSG00000110514.19,ENST00000311027.9
PTPMT1,ENSG00000110536.13,ENST00000326674.9
NAA40,ENSG00000110583.12,ENST00000377793.8
CARS,ENSG00000110619.17,ENST00000380525.8
SLC22A18,ENSG00000110628.14,ENST00000380574.5
CD81,ENSG00000110651.11,ENST00000263645.9
SLC35F2,ENSG00000110660.14,ENST00000525815.5
C11orf21,ENSG00000110665.11,ENST00000456145.2
ELMOD1,ENSG00000110675.12,ENST00000265840.11
CALCA,ENSG00000110680.12,ENST00000331587.8
SOX6,ENSG00000110693.17,ENST00000396356.7
C11orf58,ENSG00000110696.9,ENST00000228136.8
PITPNM1,ENSG00000110697.12,ENST00000356404.7
RPS13,ENSG00000110700.6,ENST00000525634.5
AIP,ENSG00000110711.9,ENST00000279146.7
NUP98,ENSG00000110713.16,ENST00000324932.11
NDUFS8,ENSG00000110717.12,ENST00000313468.9
TCIRG1,ENSG00000110719.9,ENST00000265686.7
CHKA,ENSG00000110721.11,ENST00000265689.8
EXPH5,ENSG00000110723.11,ENST00000265843.8
HPS5,ENSG00000110756.17,ENST00000349215.7
GTF2H1,ENSG00000110768.11,ENST00000265963.8
POU2AF1,ENSG00000110777.11,ENST00000393067.7
PTPN5,ENSG00000110786.17,ENST00000358540.6
VWF,ENSG00000110799.13,ENST00000261405.9
PSMD9,ENSG00000110801.13,ENST00000541212.5
P3H3,ENSG00000110811.19,ENST00000290510.9
PPFIBP1,ENSG00000110841.13,ENST00000318304.12
PRPF40B,ENSG00000110844.13,ENST00000548825.6
CD69,ENSG00000110848.8,ENST00000228434.7
PRDM4,ENSG00000110851.11,ENST00000228437.9
CLEC2B,ENSG00000110852.4,ENST00000228438.2
COQ5,ENSG00000110871.14,ENST00000288532.10
SELPLG,ENSG00000110876.9,ENST00000228463.6
CORO1C,ENSG00000110880.10,ENST00000420959.6
ASIC1,ENSG00000110881.11,ENST00000228468.8
DAO,ENSG00000110887.7,ENST00000228476.7
CAPRIN2,ENSG00000110888.17,ENST00000298892.9
TSPAN11,ENSG00000110900.14,ENST00000261177.9
KCTD10,ENSG00000110906.12,ENST00000228495.10
SLC11A2,ENSG00000110911.15,ENST00000394904.8
MLEC,ENSG00000110917.7,ENST00000228506.7
MVK,ENSG00000110921.13,ENST00000539575.4
CSRNP2,ENSG00000110925.6,ENST00000228515.5
CAMKK2,ENSG00000110931.18,ENST00000324774.9
BIN2,ENSG00000110934.10,ENST00000615107.4
IL23A,ENSG00000110944.8,ENST00000228534.5
ATP5F1B,ENSG00000110955.8,ENST00000262030.7
PTGES3,ENSG00000110958.15,ENST00000614328.4
SYT10,ENSG00000110975.8,ENST00000228567.7
BCL7A,ENSG00000110987.8,ENST00000538010.5
RSRC2,ENSG00000111011.17,ENST00000331738.11
CYP27B1,ENSG00000111012.9,ENST00000228606.8
MYF6,ENSG00000111046.3,ENST00000228641.3
MYF5,ENSG00000111049.3,ENST00000228644.3
LIN7A,ENSG00000111052.7,ENST00000552864.5
KRT18,ENSG00000111057.10,ENST00000388835.3
ACSS3,ENSG00000111058.7,ENST00000548058.5
TNS2,ENSG00000111077.17,ENST00000314276.7
GLI1,ENSG00000111087.9,ENST00000228682.6
PPM1H,ENSG00000111110.11,ENST00000228705.6
METAP2,ENSG00000111142.13,ENST00000323666.9
LTA4H,ENSG00000111144.9,ENST00000228740.6
ELK3,ENSG00000111145.7,ENST00000228741.7
SLC6A12,ENSG00000111181.12,ENST00000424061.6
WNT5B,ENSG00000111186.12,ENST00000397196.6
MAGOHB,ENSG00000111196.9,ENST00000320756.6
TRPV4,ENSG00000111199.10,ENST00000418703.6
ITFG2,ENSG00000111203.12,ENST00000228799.6
FOXM1,ENSG00000111206.12,ENST00000342628.6
PRR4,ENSG00000111215.12,ENST00000228811.8
PRMT8,ENSG00000111218.11,ENST00000382622.3
PARP11,ENSG00000111224.13,ENST00000228820.8
ARPC3,ENSG00000111229.15,ENST00000228825.11
GPN3,ENSG00000111231.8,ENST00000543199.5
VPS29,ENSG00000111237.18,ENST00000621131.4
FGF6,ENSG00000111241.2,ENST00000228837.2
MYL2,ENSG00000111245.14,ENST00000228841.12
RAD51AP1,ENSG00000111247.14,ENST00000228843.13
CUX2,ENSG00000111249.13,ENST00000261726.10
SH2B3,ENSG00000111252.10,ENST00000341259.6
AKAP3,ENSG00000111254.7,ENST00000228850.5
MANSC1,ENSG00000111261.13,ENST00000535902.5
KCNA1,ENSG00000111262.6,ENST00000382545.5
DUSP16,ENSG00000111266.8,ENST00000298573.8
CREBL2,ENSG00000111269.2,ENST00000228865.2
ACAD10,ENSG00000111271.14,ENST00000455480.6
ALDH2,ENSG00000111275.12,ENST00000261733.6
CDKN1B,ENSG00000111276.10,ENST00000228872.8
GPRC5D,ENSG00000111291.8,ENST00000228887.5
NAA25,ENSG00000111300.9,ENST00000261745.8
GSG1,ENSG00000111305.18,ENST00000432710.6
SCNN1A,ENSG00000111319.12,ENST00000360168.7
LTBR,ENSG00000111321.10,ENST00000228918.8
OGFOD2,ENSG00000111325.16,ENST00000228922.11
CDK2AP1,ENSG00000111328.6,ENST00000261692.6
OAS3,ENSG00000111331.12,ENST00000228928.11
OAS2,ENSG00000111335.12,ENST00000342315.8
ART4,ENSG00000111339.11,ENST00000228936.5
MGP,ENSG00000111341.9,ENST00000228938.5
RASAL1,ENSG00000111344.11,ENST00000546530.5
ARHGDIB,ENSG00000111348.8,ENST00000228945.8
GTF2H3,ENSG00000111358.13,ENST00000543341.6
EIF2B1,ENSG00000111361.12,ENST00000424014.6
DDX55,ENSG00000111364.15,ENST00000238146.8
SLC38A1,ENSG00000111371.15,ENST00000552197.5
RERGL,ENSG00000111404.6,ENST00000229002.6
ENDOU,ENSG00000111405.8,ENST00000422538.7
C12orf49,ENSG00000111412.5,ENST00000261318.4
VDR,ENSG00000111424.10,ENST00000550325.5
FZD10,ENSG00000111432.4,ENST00000229030.4
RFC5,ENSG00000111445.13,ENST00000454402.6
STX2,ENSG00000111450.13,ENST00000392373.6
ADGRD1,ENSG00000111452.12,ENST00000535015.5
COPZ1,ENSG00000111481.9,ENST00000549043.5
TBC1D30,ENSG00000111490.13,ENST00000539867.5
CAND1,ENSG00000111530.12,ENST00000545606.5
IL26,ENSG00000111536.4,ENST00000229134.4
IFNG,ENSG00000111537.4,ENST00000229135.3
RAB5B,ENSG00000111540.15,ENST00000360299.9
MDM1,ENSG00000111554.14,ENST00000303145.11
NUP107,ENSG00000111581.9,ENST00000229179.8
CNOT2,ENSG00000111596.12,ENST00000229195.7
TIMELESS,ENSG00000111602.11,ENST00000553532.5
CPSF6,ENSG00000111605.17,ENST00000266679.8
KRR1,ENSG00000111615.13,ENST00000229214.8
MRPL51,ENSG00000111639.7,ENST00000229238.4
GAPDH,ENSG00000111640.14,ENST00000229239.9
NOP2,ENSG00000111641.11,ENST00000382421.7
CHD4,ENSG00000111642.15,ENST00000544040.6
ACRBP,ENSG00000111644.7,ENST00000229243.6
UHRF1BP1L,ENSG00000111647.12,ENST00000279907.11
COPS7A,ENSG00000111652.9,ENST00000543155.5
ING4,ENSG00000111653.19,ENST00000396807.8
GNB3,ENSG00000111664.10,ENST00000229264.7
CDCA3,ENSG00000111665.11,ENST00000538862.6
CHPT1,ENSG00000111666.10,ENST00000229266.7
USP5,ENSG00000111667.13,ENST00000229268.12
TPI1,ENSG00000111669.14,ENST00000229270.8
GNPTAB,ENSG00000111670.15,ENST00000299314.11
SPSB2,ENSG00000111671.9,ENST00000524270.5
ENO2,ENSG00000111674.8,ENST00000535366.5
ATN1,ENSG00000111676.14,ENST00000356654.8
C12orf57,ENSG00000111678.10,ENST00000229281.5
PTPN6,ENSG00000111679.16,ENST00000456013.5
LPCAT3,ENSG00000111684.10,ENST00000261407.8
NT5DC3,ENSG00000111696.11,ENST00000392876.7
SLCO1B3,ENSG00000111700.12,ENST00000261196.6
APOBEC1,ENSG00000111701.6,ENST00000229304.4
NANOG,ENSG00000111704.10,ENST00000229307.8
SUDS3,ENSG00000111707.11,ENST00000543473.1
GOLT1B,ENSG00000111711.9,ENST00000229314.9
GYS2,ENSG00000111713.2,ENST00000261195.2
LDHB,ENSG00000111716.12,ENST00000396076.5
PRKAB1,ENSG00000111725.10,ENST00000229328.9
CMAS,ENSG00000111726.12,ENST00000229329.6
HCFC2,ENSG00000111727.11,ENST00000229330.8
ST8SIA1,ENSG00000111728.10,ENST00000396037.8
CLEC4A,ENSG00000111729.14,ENST00000229332.11
C2CD5,ENSG00000111731.12,ENST00000545552.5
AICDA,ENSG00000111732.10,ENST00000229335.10
RAB35,ENSG00000111737.11,ENST00000229340.9
PHC1,ENSG00000111752.10,ENST00000543824.5
COX6A1,ENSG00000111775.2,ENST00000229379.2
RFX4,ENSG00000111783.12,ENST00000357881.8
RIC8B,ENSG00000111785.19,ENST00000392837.8
SRSF9,ENSG00000111786.8,ENST00000229390.7
FGFR1OP2,ENSG00000111790.13,ENST00000229395.7
KLRB1,ENSG00000111796.3,ENST00000229402.3
COL12A1,ENSG00000111799.20,ENST00000322507.12
BTN3A3,ENSG00000111801.15,ENST00000244519.6
TDP2,ENSG00000111802.13,ENST00000378198.8
FRK,ENSG00000111816.7,ENST00000606080.1
DSE,ENSG00000111817.17,ENST00000644252.1
RWDD1,ENSG00000111832.12,ENST00000466444.6
RSPH4A,ENSG00000111834.12,ENST00000229554.9
MAK,ENSG00000111837.11,ENST00000354489.6
TMEM14C,ENSG00000111843.13,ENST00000541412.5
PAK1IP1,ENSG00000111845.4,ENST00000379568.3
GCNT2,ENSG00000111846.17,ENST00000495262.6
SMIM8,ENSG00000111850.10,ENST00000392863.5
NEDD9,ENSG00000111859.16,ENST00000379446.9
CEP85L,ENSG00000111860.13,ENST00000368488.9
ADTRP,ENSG00000111863.12,ENST00000229583.9
ASF1A,ENSG00000111875.7,ENST00000229595.5
MCM9,ENSG00000111877.17,ENST00000316316.10
FAM184A,ENSG00000111879.19,ENST00000338891.11
RNGTT,ENSG00000111880.15,ENST00000369485.8
MAN1A1,ENSG00000111885.6,ENST00000368468.3
GABRR2,ENSG00000111886.10,ENST00000402938.3
SERINC1,ENSG00000111897.6,ENST00000339697.4
HDDC2,ENSG00000111906.17,ENST00000398153.6
TPD52L1,ENSG00000111907.20,ENST00000304877.17
HINT3,ENSG00000111911.6,ENST00000229633.6
NCOA7,ENSG00000111912.19,ENST00000392477.6
RIPOR2,ENSG00000111913.18,ENST00000644685.1
SASH1,ENSG00000111961.17,ENST00000367467.7
UST,ENSG00000111962.7,ENST00000367463.4
ULBP1,ENSG00000111981.4,ENST00000229708.3
FBXO5,ENSG00000112029.9,ENST00000229758.7
MTRF1L,ENSG00000112031.15,ENST00000367233.9
PPARD,ENSG00000112033.13,ENST00000311565.4
OPRM1,ENSG00000112038.17,ENST00000434900.6
FANCE,ENSG00000112039.4,ENST00000229769.2
TULP1,ENSG00000112041.12,ENST00000229771.10
SLC26A8,ENSG00000112053.13,ENST00000490799.5
MAPK14,ENSG00000112062.10,ENST00000229795.7
RHAG,ENSG00000112077.16,ENST00000371175.9
KCTD20,ENSG00000112078.13,ENST00000373731.6
STK38,ENSG00000112079.8,ENST00000229812.7
SRSF3,ENSG00000112081.16,ENST00000373715.10
SOD2,ENSG00000112096.17,ENST00000538183.6
MRPL18,ENSG00000112110.9,ENST00000367034.4
IL17A,ENSG00000112115.6,ENST00000340057.1
IL17F,ENSG00000112116.9,ENST00000336123.4
MCM3,ENSG00000112118.18,ENST00000616552.4
RNF8,ENSG00000112130.16,ENST00000373479.8
PHACTR1,ENSG00000112137.17,ENST00000332995.11
MDGA1,ENSG00000112139.15,ENST00000434837.7
ICK,ENSG00000112144.15,ENST00000356971.3
FBXO9,ENSG00000112146.16,ENST00000244426.10
CD83,ENSG00000112149.9,ENST00000379153.3
MDN1,ENSG00000112159.11,ENST00000369393.7
GLP1R,ENSG00000112164.5,ENST00000373256.4
SAYSD1,ENSG00000112167.9,ENST00000229903.4
BMP5,ENSG00000112175.7,ENST00000370830.3
BACH2,ENSG00000112182.14,ENST00000257749.8
RBM24,ENSG00000112183.14,ENST00000379052.9
CAP2,ENSG00000112186.11,ENST00000229922.6
TREML2,ENSG00000112195.8,ENST00000483722.1
ZNF451,ENSG00000112200.16,ENST00000370706.8
BAG2,ENSG00000112208.11,ENST00000370693.5
RAB23,ENSG00000112210.11,ENST00000468148.5
TSPO2,ENSG00000112212.11,ENST00000373161.5
FHL5,ENSG00000112214.10,ENST00000326771.2
GPR63,ENSG00000112218.8,ENST00000229955.3
KHDRBS2,ENSG00000112232.8,ENST00000281156.4
FBXL4,ENSG00000112234.8,ENST00000369244.6
CCNC,ENSG00000112237.12,ENST00000520429.5
PRDM13,ENSG00000112238.11,ENST00000369215.4
E2F3,ENSG00000112242.14,ENST00000346618.7
PTP4A1,ENSG00000112245.11,ENST00000626021.2
SIM1,ENSG00000112246.9,ENST00000369208.7
ASCC3,ENSG00000112249.13,ENST00000369162.6
HDGFL1,ENSG00000112273.6,ENST00000510882.3
BVES,ENSG00000112276.13,ENST00000314641.9
COL9A1,ENSG00000112280.16,ENST00000357250.10
MED23,ENSG00000112282.17,ENST00000368068.7
WASF1,ENSG00000112290.12,ENST00000392589.5
GPLD1,ENSG00000112293.14,ENST00000230036.1
ALDH5A1,ENSG00000112294.12,ENST00000348925.2
CRYBG1,ENSG00000112297.14,ENST00000369066.7
VNN1,ENSG00000112299.7,ENST00000367928.4
VNN2,ENSG00000112303.13,ENST00000326499.10
ACOT13,ENSG00000112304.10,ENST00000230048.4
SMAP1,ENSG00000112305.14,ENST00000370455.7
RPS12,ENSG00000112306.7,ENST00000230050.3
C6orf62,ENSG00000112308.12,ENST00000378119.8
B3GAT2,ENSG00000112309.10,ENST00000230053.10
GMNN,ENSG00000112312.9,ENST00000230056.7
EYA4,ENSG00000112319.18,ENST00000531901.5
SOBP,ENSG00000112320.11,ENST00000317357.9
NR2E1,ENSG00000112333.11,ENST00000368983.3
SNX3,ENSG00000112335.14,ENST00000230085.12
SLC17A2,ENSG00000112337.10,ENST00000377850.7
HBS1L,ENSG00000112339.14,ENST00000367837.9
TRIM38,ENSG00000112343.10,ENST00000357085.4
PEX7,ENSG00000112357.12,ENST00000318471.4
ZBTB24,ENSG00000112365.4,ENST00000230122.3
FIG4,ENSG00000112367.10,ENST00000230124.7
PERP,ENSG00000112378.11,ENST00000421351.3
ARFGEF3,ENSG00000112379.8,ENST00000251691.4
SLC16A10,ENSG00000112394.16,ENST00000368851.9
HECA,ENSG00000112406.4,ENST00000367658.2
ADGRG6,ENSG00000112414.14,ENST00000367609.7
PHACTR2,ENSG00000112419.14,ENST00000440869.6
EPM2A,ENSG00000112425.14,ENST00000367519.8
OR12D3,ENSG00000112462.8,ENST00000396806.3
SLC39A7,ENSG00000112473.17,ENST00000374677.7
CCR6,ENSG00000112486.16,ENST00000341935.9
UNC93A,ENSG00000112494.9,ENST00000230256.7
SLC22A2,ENSG00000112499.12,ENST00000366953.7
PHF1,ENSG00000112511.17,ENST00000374516.7
CUTA,ENSG00000112514.15,ENST00000374500.9
PACRG,ENSG00000112530.11,ENST00000337019.7
QKI,ENSG00000112531.16,ENST00000361752.7
C6orf118,ENSG00000112539.14,ENST00000230301.8
PDE10A,ENSG00000112541.14,ENST00000539869.3
MDFI,ENSG00000112559.13,ENST00000230321.10
TFEB,ENSG00000112561.17,ENST00000358871.6
SMOC2,ENSG00000112562.18,ENST00000354536.9
CCND3,ENSG00000112576.12,ENST00000372991.8
BYSL,ENSG00000112578.9,ENST00000230340.8
FAM120B,ENSG00000112584.13,ENST00000537664.5
TBP,ENSG00000112592.13,ENST00000392092.6
GUCA1B,ENSG00000112599.8,ENST00000230361.3
PRPH2,ENSG00000112619.7,ENST00000230381.6
BICRAL,ENSG00000112624.12,ENST00000314073.9
